team,player_raw,player_resolved,role,slot,stat_source,season,has_team_bench,minutes,games,primary_position,fpl_position,positions,rating,goals90,assists90,xg90,xa90,shots90,shots_on_target90,key_passes90,pass_pct,dribbles90,tackles90,interceptions90,understat_xg90,understat_shots90,gap_flags,has_gaps
Anindo,Manuel Locatelli,Manuel Locatelli,XI,DM,blend_cache,,True,2922.0,36,CM,MID,CM,7.33584140744518,0.060267779032519314,0.07142831901626359,0.0781395761233898,0.11641214066305484,1.1144767297076663,0.32941186021590285,1.1473601618634126,87.06040285568587,0.3845259419580911,2.43453757089027,0.9107541248471333,0.07252943138122868,1.1086617601587498,,False
Anindo,Matheus Cunha,Matheus Cunha,bench,,blend_cache,,True,2551.5,33,ST,FWD,ST,7.22329297479938,0.41141156987252897,0.13422705021812983,0.2942311056327702,0.13335994766838172,3.2060085289437295,1.2751186153912006,1.482987988028981,78.23873011403633,1.5520656492058782,1.2014946123175672,0.5530172700155389,0.2783083349236024,2.997907092526016,,False
Anindo,Antoine Griezmann,Antoine Griezmann,bench,,blend_cache,,True,1978.5,36,ST,FWD,ST,6.986353869397347,0.3523576645890467,0.20565485310196976,0.35881839867910903,0.192962106469093,2.3604268776062507,1.0524453049290685,1.6199819374560787,78.94209837166359,0.6316327849737745,0.9136116945751769,0.31831988403358275,0.38780555043478565,2.384111222685721,,False
Chintu,Haaland,Erling Haaland,XI,ST,blend_cache,,True,2849.5,33,ST,FWD,ST,7.188688141317054,0.6597277107266712,0.15771892049730582,0.6421693961968055,0.08002181057535508,3.3548258268552646,1.6481338224532598,0.9197017869595481,68.48531627484088,0.5572402519312658,0.510413040249969,0.18201152835897638,0.7005653483732389,3.341939600694802,,False
Chintu,Bruno,Bruno Fernandes,XI,AM,blend_cache,,True,3045.0,35,CM,MID,CM,7.438238566131027,0.27310903025890243,0.3737088744772,0.315172153597372,0.24776180215723795,2.6078618961342435,0.8323029022808474,2.804996655773236,79.9206242274413,0.677163587720338,1.7353785326040945,0.5740322908376654,0.32559934597626206,2.5994419368416546,,False
Chintu,Sergio Ramos,Sergio Ramos,XI,CB1,prime,2014-2015,True,2229.0,27,CB,DEF,CB,6.64,0.16,0.04,0.15897720428262077,0.02137716919411507,1.1165263624280017,0.48,0.3190075321222862,84.0,0.35,1.12,1.12,0.15897720428262077,1.1165263624280017,pass_pct_role_default|dribbles_role_default|dribble_pct_role_default,True
Chintu,Bounou,Yassine Bounou,bench,,blend_cache,,True,2565.0,28,GK,GK,GK,6.888842917251052,0.0,0.0,0.0,0.0009761031394972489,0.0,0.0,0.020019906799981904,79.96510518934082,0.0,0.017214857711622858,0.0,0.0,0.0,aerials_estimated,True
Chintu,Fernandinho,Fernandinho,XI,DM,peak_season,2017-2018,True,2881.0,34,CM,MID,CM,6.76,0.16,0.09,0.07680647696165374,0.08853827197762097,1.5,0.62,0.6539792387543253,85.0,0.85,0.0,0.0,0.07680647696165374,1.4636678200692042,,False
Chintu,Doku,Jérémy Doku,XI,RW,blend_cache,,True,1658.5,29,CM,MID,CM,7.193300733496333,0.2276560707288094,0.2562631270010698,0.15020022972236913,0.2345440558297084,1.9723057048862558,0.72058340872583,2.0943946421882282,80.78179518525485,3.8078876424410915,1.3057712419491796,0.4282800470032667,0.1807671432759746,1.9778975756715689,,False
Chintu,Barella,Nicolò Barella,XI,CM,blend_cache,,True,2529.5,33,CM,MID,CM,7.122001699957502,0.12749695903938227,0.22945932154434903,0.11906486470775149,0.20103682785706187,1.5046054237698563,0.3627285076427081,2.085002063069813,83.89512183028758,0.9519420894341818,1.6375576989815053,0.39529355586352966,0.12526188168320065,1.5087912140333866,,False
Chintu,Mason Greenwood,Mason Greenwood,bench,,blend_cache,,True,2641.5,33,ST,FWD,ST,7.309844157627351,0.5485032712424981,0.1835000011015091,0.47316149659236817,0.19247279681831633,3.571477377193462,1.5533251924155453,1.688550507026959,80.14403542496224,1.5600205020639004,0.824004194377395,0.26073694803268266,0.501121169022482,3.5458007010396773,,False
Chintu,Djed Spence,Djed Spence,XI,RB,blend_cache,,True,1942.0,27,LB,DEF,LB,6.76418762746431,0.03685095597055539,0.06690381540814003,0.04246901965050247,0.08180378721092917,0.5882411084649748,0.23165315896437055,0.6298154172214255,83.20797416723317,1.3687737358351693,2.047944559957983,0.9256795167900169,0.04364234266281817,0.5911662565014968,,False
Chintu,Leandro Trossard,Leandro Trossard,XI,LW,blend_cache,,True,2282.0,34,ST,FWD,ST,6.979960390006095,0.2950352554428922,0.21577119564602357,0.2772613948895719,0.13322241421524597,2.4386227756091774,0.8016616573478296,1.398178470569218,77.32009445460086,1.0985015614555327,1.0440744870108047,0.32663760810036246,0.31436246525855865,2.4266911753095712,,False
Chintu,Malick Thiaw,Malick Thiaw,XI,CB2,blend_cache,,True,2383.5,28,CB,DEF,CB,6.9451004876607065,0.05164680465871229,0.008866558297620807,0.0725002694240859,0.02606430508880182,0.570310983938892,0.21164555200681542,0.23794114270011132,89.94138687749373,0.21219417330036322,1.3654313772958377,0.905604923538555,0.13781166931118907,0.7458922462226509,,False
Chintu,Jordan Pickford,Jordan Pickford,XI,GK,blend_cache,,True,3420.0,38,GK,GK,GK,7.085407239819005,0.0,0.010180995475113122,0.0,0.005135746606334842,0.0,0.0,0.04751131221719457,63.83904977375565,0.0,0.03506787330316742,0.010180995475113122,0.0,0.0,aerials_estimated,True
Chintu,Adam Wharton,Adam Wharton,bench,,blend_cache,,True,2562.0,34,CM,MID,CM,7.015081414935429,0.05334081976417743,0.154407636159461,0.06647950589556428,0.21734980348119037,1.1454239191465467,0.24985962942167322,1.420550252667041,80.33874227961819,0.5755193711398091,2.2599663110612016,0.9067939359910164,0.05056654642190324,1.0505713026710815,,False
Chintu,Maxence Lacroix,Maxence Lacroix,bench,,blend_cache,,True,3102.5,35,CB,DEF,CB,6.936968312004875,0.02925100461460653,0.04027500157301381,0.07375106625938073,0.031021622705544406,0.7138846332264481,0.17921741038644867,0.24979695891030357,85.28534734917734,0.22542157804497756,1.7936246623185512,1.341398605630729,0.07278748302096116,0.7234471436785929,,False
Chintu,Noussair Mazraoui,Noussair Mazraoui,XI,LB,blend_cache,,True,2848.0,37,CB,DEF,CB,6.9388149688149685,0.007796257796257795,0.031185031185031187,0.0262993762993763,0.05413201663201664,0.433991683991684,0.10914760914760915,0.5587318087318088,86.06661122661123,0.6730769230769231,3.105509355509356,1.068087318087318,0.02643235551543533,0.44843345346642816,,False
DDR,Yamal,Lamine Yamal,XI,RW,blend_cache,,True,2564.5,31,CM,MID,CM,7.590677514377893,0.4256290564213429,0.3377993470056676,0.3892581582346416,0.3006633960508265,3.972997102319779,1.3349643512110725,2.086217343007818,78.327526301024,3.944899511709285,1.1993357982091768,0.3939436382071529,0.4329889684787345,3.9460417665152137,,False
DDR,CR7,Cristiano Ronaldo,XI,ST,prime,2014-2015,True,3100.0,35,ST,FWD,ST|CM,7.75,1.39,0.46,0.881,0.394,6.526,3.08,2.204,81.0,1.85,0.0,0.0,1.1401183172115588,6.525942636158557,dribbles_winger_estimate,True
DDR,Carvajal,Carvajal,XI,RB,blend_cache,,True,1632.0,22,RB,DEF,RB|RM,6.7,0.0,0.22,0.018657735213501146,0.10195138357193165,0.44,0.0,0.8800006761953867,84.0,0.40260021638252375,1.213235294117647,2.150735294117647,0.094076635403574,0.4533890067535014,raw_pass_pct_zero|pass_pct_role_default,True
DDR,Arturo Vidal,Arturo Vidal,XI,DM2,peak_season,2015-2016,True,2042.0,30,CM,MID,CM,6.73,0.18,0.22,0.16841742737915522,0.20120601918010955,2.2885085574572126,0.84,2.1124694376528117,85.0,0.85,3.52,1.67,0.16841742737915522,2.2885085574572126,aerials_estimated_mid,True
DDR,Gravenberch,Ryan Gravenberch,XI,DM1,blend_cache,,True,3082.0,36,CM,MID,CM,7.005703086722194,0.08120005180842135,0.10141812916531649,0.05805636711047747,0.09043534455677663,0.9394055926215579,0.286791875381598,0.8771922055264814,87.66981136697697,0.9311945737011961,1.837805448985802,1.3838087250567161,0.05594244723748608,0.9356078595618094,,False
DDR,Van Hecke,Jan Paul van Hecke,XI,CB2,blend_cache,,True,3085.5,35,CB,DEF,CB,7.0803457349161665,0.050576807133117165,0.039095240815851424,0.06010344033826719,0.043470365894783834,0.5610041891870723,0.19996370508460393,0.3954851830542656,87.38585056908579,0.15035205049543676,1.4692549200226879,1.0300151854297874,0.05678119595903677,0.5606451705635387,,False
DDR,Marc Guehi,Marc Guéhi,XI,CB1,blend_cache,,True,3105.0,34,CB,DEF,CB,7.114738124238733,0.07309542574642525,0.061971975148159136,0.07628787398028639,0.0571714295949805,0.6344348458019018,0.21165569760181782,0.4577385643660631,86.68075517661389,0.27002221107687896,1.565358396708257,1.1075241302367476,0.09343675053183664,0.6344348458019018,,False
DDR,Laimer,Konrad Laimer,XI,LB,blend_cache,,True,1850.5,29,LB,DEF,LB,6.862983687072442,0.09922261731212975,0.20102678822382092,0.09262386945339161,0.16529997488042247,0.8028481508019903,0.29005557402118287,1.3168997296760911,86.82668566918085,0.7768999899108987,2.179518603913663,0.7191125323905923,0.10753373203848826,0.8035742476349562,,False
DDR,Arda Guler,Arda Güler,XI,AM,blend_cache,,True,2026.0,33,CM,MID,CM,7.097296761401189,0.1784534038334435,0.3271645736946464,0.19540647719762064,0.2730337078651685,2.0522141440846,0.7799074686054197,2.6107072042300064,87.17067415730337,1.19960343688037,1.7316589557171185,0.4163912756113682,0.22554855083008768,2.244498720251678,,False
DDR,Abdessamad Ezzalzouli,Abdessamad Ezzalzouli,bench,,blend_cache,,True,2125.0,30,CM,MID,CM,7.0394000000000005,0.27517513962289314,0.1776354500441792,0.3531282863477986,0.10842233966290447,2.7095761132320826,1.0652129570044846,1.21570871746995,76.482,1.4907878565593586,1.5427205708284015,0.4044859376823433,0.39128898397403544,2.6808027693601786,,False
DDR,Yan Diomande,Yan Diomande,XI,LW,blend_cache,,True,1513.5,21,ST,FWD,ST,7.225160135269544,0.3649488642515747,0.1844693140445247,0.2979926949224109,0.19032497557645991,2.0758115991891706,0.8219633969586175,1.7389675322203628,80.93976029441019,2.7407188388225046,1.3241313149985303,0.6679807877228526,0.30885706665893864,2.1005350524796733,,False
DDR,Matvei Safonov,Matvey Safonov,bench,,blend_cache,,True,1114.0,12,GK,GK,GK,7.005331125827814,0.0,0.0,0.0,0.0013918117564574745,0.0,0.0,0.049321980447808264,74.55682592242194,0.0,0.00946073793755913,0.027008359499421365,0.0,0.0,aerials_estimated,True
